F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 - 30032 -      ?        00:00:01 systemd
1 S     0     2     0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H
1 S     0     7     2  0  80   0 -     0 -      ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 -      ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 -      ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 -      ?        00:00:00 watchdog/0
5 S     0    11     2  0 -40   - -     0 -      ?        00:00:00 watchdog/1
1 S     0    12     2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0    13     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 S     0    15     2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H
5 S     0    16     2  0 -40   - -     0 -      ?        00:00:00 watchdog/2
1 S     0    17     2  0 -40   - -     0 -      ?        00:00:00 migration/2
1 S     0    18     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/2
1 S     0    20     2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H
5 S     0    21     2  0 -40   - -     0 -      ?        00:00:00 watchdog/3
1 S     0    22     2  0 -40   - -     0 -      ?        00:00:00 migration/3
1 S     0    23     2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/3
1 S     0    25     2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H
5 S     0    26     2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 S     0    27     2  0  60 -20 -     0 -      ?        00:00:00 netns
1 S     0    28     2  0  60 -20 -     0 -      ?        00:00:00 perf
1 S     0    29     2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0    30     2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0    31     2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0    32     2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 S     0    33     2  0  60 -20 -     0 -      ?        00:00:00 crypto
1 S     0    34     2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 S     0    35     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    36     2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 S     0    37     2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 S     0    38     2  0  60 -20 -     0 -      ?        00:00:00 md
1 S     0    39     2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0    44     2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0    45     2  0  60 -20 -     0 -      ?        00:00:00 vmstat
1 S     0    46     2  0  80   0 -     0 -      ?        00:00:00 fsnotify_mark
1 S     0    47     2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 S     0    62     2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 S     0    63     2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0    64     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    65     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    66     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    67     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    68     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    69     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    70     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    71     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    72     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    73     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    74     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    75     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    76     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    77     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    78     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    79     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    80     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    81     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    82     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    83     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    84     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    85     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    86     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    87     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    93     2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 S     0   107     2  0  60 -20 -     0 -      ?        00:00:00 deferwq
1 S     0   108     2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 S     0   148     2  0  60 -20 -     0 -      ?        00:00:00 kpsmoused
1 S     0   149     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 S     0   150     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0   151     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 S     0   153     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0   154     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 S     0   157     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 S     0   158     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 S     0   159     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_3
1 S     0   168     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   169     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   173     2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H
1 S     0   176     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
1 S     0   252     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0   282     2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:1H
1 S     0   284     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda7-8
1 S     0   285     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
1 S     0   321     2  0  80   0 -     0 -      ?        00:00:00 kauditd
4 S     0   343     1  0  80   0 -  8845 -      ?        00:00:00 systemd-journal
4 S     0   364     1  0  80   0 - 23694 -      ?        00:00:00 lvmetad
4 S     0   369     1  0  80   0 - 11655 -      ?        00:00:00 systemd-udevd
1 S     0   388     2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H
1 S     0   404     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:3
1 S     0   439     2  0   9   - -     0 -      ?        00:00:01 irq/30-DLLC6AE:
1 S     0   446     2  0   9   - -     0 -      ?        00:00:00 irq/47-mei_me
1 S     0   457     2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
1 S     0   469     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   472     2  0   9   - -     0 -      ?        00:00:00 irq/50-iwlwifi
1 S     0   566     2  0  60 -20 -     0 -      ?        00:00:00 kworker/u9:0
1 S     0   567     2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0   568     2  0  60 -20 -     0 -      ?        00:00:00 hci0
