UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 19:48 ?        00:00:01 /sbin/init splash
root         2     0     2  0    1 19:48 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 19:48 ?        00:00:00 [ksoftirqd/0]
root         5     2     5  0    1 19:48 ?        00:00:00 [kworker/0:0H]
root         7     2     7  0    1 19:48 ?        00:00:00 [rcu_sched]
root         8     2     8  0    1 19:48 ?        00:00:00 [rcu_bh]
root         9     2     9  0    1 19:48 ?        00:00:00 [migration/0]
root        10     2    10  0    1 19:48 ?        00:00:00 [watchdog/0]
root        11     2    11  0    1 19:48 ?        00:00:00 [watchdog/1]
root        12     2    12  0    1 19:48 ?        00:00:00 [migration/1]
root        13     2    13  0    1 19:48 ?        00:00:00 [ksoftirqd/1]
root        15     2    15  0    1 19:48 ?        00:00:00 [kworker/1:0H]
root        16     2    16  0    1 19:48 ?        00:00:00 [watchdog/2]
root        17     2    17  0    1 19:48 ?        00:00:00 [migration/2]
root        18     2    18  0    1 19:48 ?        00:00:00 [ksoftirqd/2]
root        20     2    20  0    1 19:48 ?        00:00:00 [kworker/2:0H]
root        21     2    21  0    1 19:48 ?        00:00:00 [watchdog/3]
root        22     2    22  0    1 19:48 ?        00:00:00 [migration/3]
root        23     2    23  0    1 19:48 ?        00:00:00 [ksoftirqd/3]
root        25     2    25  0    1 19:48 ?        00:00:00 [kworker/3:0H]
root        26     2    26  0    1 19:48 ?        00:00:00 [kdevtmpfs]
root        27     2    27  0    1 19:48 ?        00:00:00 [netns]
root        28     2    28  0    1 19:48 ?        00:00:00 [perf]
root        29     2    29  0    1 19:48 ?        00:00:00 [khungtaskd]
root        30     2    30  0    1 19:48 ?        00:00:00 [writeback]
root        31     2    31  0    1 19:48 ?        00:00:00 [ksmd]
root        32     2    32  0    1 19:48 ?        00:00:00 [khugepaged]
root        33     2    33  0    1 19:48 ?        00:00:00 [crypto]
root        34     2    34  0    1 19:48 ?        00:00:00 [kintegrityd]
root        35     2    35  0    1 19:48 ?        00:00:00 [bioset]
root        36     2    36  0    1 19:48 ?        00:00:00 [kblockd]
root        37     2    37  0    1 19:48 ?        00:00:00 [ata_sff]
root        38     2    38  0    1 19:48 ?        00:00:00 [md]
root        39     2    39  0    1 19:48 ?        00:00:00 [devfreq_wq]
root        44     2    44  0    1 19:48 ?        00:00:00 [kswapd0]
root        45     2    45  0    1 19:48 ?        00:00:00 [vmstat]
root        46     2    46  0    1 19:48 ?        00:00:00 [fsnotify_mark]
root        47     2    47  0    1 19:48 ?        00:00:00 [ecryptfs-kthrea]
root        62     2    62  0    1 19:48 ?        00:00:00 [kthrotld]
root        63     2    63  0    1 19:48 ?        00:00:00 [acpi_thermal_pm]
root        64     2    64  0    1 19:48 ?        00:00:00 [bioset]
root        65     2    65  0    1 19:48 ?        00:00:00 [bioset]
root        66     2    66  0    1 19:48 ?        00:00:00 [bioset]
root        67     2    67  0    1 19:48 ?        00:00:00 [bioset]
root        68     2    68  0    1 19:48 ?        00:00:00 [bioset]
root        69     2    69  0    1 19:48 ?        00:00:00 [bioset]
root        70     2    70  0    1 19:48 ?        00:00:00 [bioset]
root        71     2    71  0    1 19:48 ?        00:00:00 [bioset]
root        72     2    72  0    1 19:48 ?        00:00:00 [bioset]
root        73     2    73  0    1 19:48 ?        00:00:00 [bioset]
root        74     2    74  0    1 19:48 ?        00:00:00 [bioset]
root        75     2    75  0    1 19:48 ?        00:00:00 [bioset]
root        76     2    76  0    1 19:48 ?        00:00:00 [bioset]
root        77     2    77  0    1 19:48 ?        00:00:00 [bioset]
root        78     2    78  0    1 19:48 ?        00:00:00 [bioset]
root        79     2    79  0    1 19:48 ?        00:00:00 [bioset]
root        80     2    80  0    1 19:48 ?        00:00:00 [bioset]
root        81     2    81  0    1 19:48 ?        00:00:00 [bioset]
root        82     2    82  0    1 19:48 ?        00:00:00 [bioset]
root        83     2    83  0    1 19:48 ?        00:00:00 [bioset]
root        84     2    84  0    1 19:48 ?        00:00:00 [bioset]
root        85     2    85  0    1 19:48 ?        00:00:00 [bioset]
root        87     2    87  0    1 19:48 ?        00:00:00 [bioset]
root        88     2    88  0    1 19:48 ?        00:00:00 [bioset]
root        94     2    94  0    1 19:48 ?        00:00:00 [ipv6_addrconf]
root       107     2   107  0    1 19:48 ?        00:00:00 [deferwq]
root       108     2   108  0    1 19:48 ?        00:00:00 [charger_manager]
root       151     2   151  0    1 19:48 ?        00:00:00 [kpsmoused]
root       153     2   153  0    1 19:48 ?        00:00:00 [scsi_eh_0]
root       154     2   154  0    1 19:48 ?        00:00:00 [scsi_tmf_0]
root       155     2   155  0    1 19:48 ?        00:00:00 [scsi_eh_1]
root       156     2   156  0    1 19:48 ?        00:00:00 [scsi_tmf_1]
root       157     2   157  0    1 19:48 ?        00:00:00 [scsi_eh_2]
root       158     2   158  0    1 19:48 ?        00:00:00 [scsi_tmf_2]
root       159     2   159  0    1 19:48 ?        00:00:00 [scsi_eh_3]
